"";"x"
"229";"ENSG00000196172"
"230";"ENSG00000196214"
"231";"ENSG00000196214"
"232";"ENSG00000196214"
"233";"ENSG00000196247"
"234";"ENSG00000196247"
"235";"ENSG00000196247"
"236";"ENSG00000196247"
"237";"ENSG00000196247"
"238";"ENSG00000196247"
"239";"ENSG00000196247"
"240";"ENSG00000196323"
"241";"ENSG00000196371"
"242";"ENSG00000196757"
"243";"ENSG00000196844"
"244";"ENSG00000196911"
"245";"ENSG00000196911"
"246";"ENSG00000196946"
"247";"ENSG00000196967"
"248";"ENSG00000197008"
"249";"ENSG00000197008"
"250";"ENSG00000197008"
"251";"ENSG00000197008"
"252";"ENSG00000197008"
"253";"ENSG00000197008"
"254";"ENSG00000197008"
"255";"ENSG00000197008"
"256";"ENSG00000197020"
"257";"ENSG00000274746"
"258";"ENSG00000197134"
"259";"ENSG00000197555"
"260";"ENSG00000197565"
"261";"ENSG00000197706"
"262";"ENSG00000198464"
"263";"ENSG00000198464"
"264";"ENSG00000198464"
"265";"ENSG00000198482"
"266";"ENSG00000198521"
"267";"ENSG00000279566"
"268";"ENSG00000198774"
"269";"ENSG00000203663"
"270";"ENSG00000204406"
"271";"ENSG00000204592"
"272";"ENSG00000206493"
"273";"ENSG00000225201"
"274";"ENSG00000229252"
"275";"ENSG00000230254"
"276";"ENSG00000233904"
"277";"ENSG00000236632"
"278";"ENSG00000204604"
"279";"ENSG00000204604"
"280";"ENSG00000112462"
"281";"ENSG00000204692"
"282";"ENSG00000224487"
"283";"ENSG00000242022"
"284";"ENSG00000250364"
"285";"ENSG00000251394"
"286";"ENSG00000205038"
"287";"ENSG00000205777"
"288";"ENSG00000204592"
"289";"ENSG00000206493"
"290";"ENSG00000225201"
"291";"ENSG00000229252"
"292";"ENSG00000230254"
"293";"ENSG00000233904"
"294";"ENSG00000236632"
"295";"ENSG00000213793"
"296";"ENSG00000213799"
"297";"ENSG00000213973"
"298";"ENSG00000213973"
"299";"ENSG00000213973"
"300";"ENSG00000213973"
"301";"ENSG00000213973"
"302";"ENSG00000213973"
"303";"ENSG00000213973"
"304";"ENSG00000213973"
"305";"ENSG00000213973"
"306";"ENSG00000213973"
"307";"ENSG00000213973"
"308";"ENSG00000213973"
"309";"ENSG00000213973"
"310";"ENSG00000213973"
"311";"ENSG00000213973"
"312";"ENSG00000213973"
"313";"ENSG00000213973"
"314";"ENSG00000213973"
"315";"ENSG00000214279"
"316";"ENSG00000214491"
"317";"ENSG00000214652"
"318";"ENSG00000214652"
"319";"ENSG00000214652"
"320";"ENSG00000214652"
"321";"ENSG00000215343"
"322";"ENSG00000274195"
"323";"ENSG00000215372"
"324";"ENSG00000219607"
"325";"ENSG00000221874"
"326";"ENSG00000223547"
"327";"ENSG00000112462"
"328";"ENSG00000204692"
"329";"ENSG00000224487"
"330";"ENSG00000242022"
"331";"ENSG00000250364"
"332";"ENSG00000251394"
"333";"ENSG00000204592"
"334";"ENSG00000206493"
"335";"ENSG00000225201"
"336";"ENSG00000229252"
"337";"ENSG00000230254"
"338";"ENSG00000233904"
"339";"ENSG00000236632"
"340";"ENSG00000204592"
"341";"ENSG00000206493"
"342";"ENSG00000225201"
"343";"ENSG00000229252"
"344";"ENSG00000230254"
"345";"ENSG00000233904"
"346";"ENSG00000236632"
"347";"ENSG00000204592"
"348";"ENSG00000206493"
"349";"ENSG00000225201"
"350";"ENSG00000229252"
"351";"ENSG00000230254"
"352";"ENSG00000233904"
"353";"ENSG00000236632"
"354";"ENSG00000204592"
"355";"ENSG00000206493"
"356";"ENSG00000225201"
"357";"ENSG00000229252"
"358";"ENSG00000230254"
"359";"ENSG00000233904"
"360";"ENSG00000236632"
"361";"ENSG00000236032"
"362";"ENSG00000204592"
"363";"ENSG00000206493"
"364";"ENSG00000225201"
"365";"ENSG00000229252"
"366";"ENSG00000230254"
"367";"ENSG00000233904"
"368";"ENSG00000236632"
"369";"ENSG00000237440"
"370";"ENSG00000237440"
"371";"ENSG00000237440"
"372";"ENSG00000237440"
"373";"ENSG00000241149"
"374";"ENSG00000241149"
"375";"ENSG00000241149"
"376";"ENSG00000112462"
"377";"ENSG00000204692"
"378";"ENSG00000224487"
"379";"ENSG00000242022"
"380";"ENSG00000250364"
"381";"ENSG00000251394"
"382";"ENSG00000112462"
"383";"ENSG00000204692"
"384";"ENSG00000224487"
"385";"ENSG00000242022"
"386";"ENSG00000250364"
"387";"ENSG00000251394"
"388";"ENSG00000112462"
"389";"ENSG00000204692"
"390";"ENSG00000224487"
"391";"ENSG00000242022"
"392";"ENSG00000250364"
"393";"ENSG00000251394"
"394";"ENSG00000254535"
"395";"ENSG00000256771"
"396";"ENSG00000256771"
"397";"ENSG00000090612"
"398";"ENSG00000256825"
"399";"ENSG00000257093"
"400";"ENSG00000262599"
"401";"ENSG00000258405"
"402";"ENSG00000257093"
"403";"ENSG00000262599"
"404";"ENSG00000269067"
"405";"ENSG00000269067"
"406";"ENSG00000269825"
"407";"ENSG00000270299"
"408";"ENSG00000271303"
"409";"ENSG00000270299"
"410";"ENSG00000271303"
"411";"ENSG00000215343"
"412";"ENSG00000274195"
"413";"ENSG00000197020"
"414";"ENSG00000274746"
"415";"ENSG00000276219"
"416";"ENSG00000149527"
"417";"ENSG00000276429"
"418";"ENSG00000170889"
"419";"ENSG00000278270"
"420";"ENSG00000198521"
"421";"ENSG00000279566"
"422";"ENSG00000176994"
"423";"ENSG00000283741"
"424";"ENSG00000005249"
"425";"ENSG00000284096"
"426";"ENSG00000110172"
"427";"ENSG00000285023"
"428";"ENSG00000286098"
